time_min,day,hour,solar_gen_kw,load_kw,battery_soc_kwh,grid_import_kw,grid_export_kw,cost_cents,cloud_cover
0,0,0.0,0.0,0.535718295084117,0.0,0.535718295084117,0.0,0.40178872131308774,0.9986706367341048
60,0,1.0,0.0,0.5948694077097832,0.0,0.5948694077097832,0.0,0.4461520557823374,0.6523145162045633
120,0,2.0,0.0,0.7982000195272301,0.0,0.7982000195272301,0.0,0.5986500146454226,0.33263435065801283
180,0,3.0,0.0,0.5628808931941329,0.0,0.5628808931941329,0.0,0.4221606698955997,0.9120233228720499
240,0,4.0,0.0,0.7454512194780176,0.0,0.7454512194780176,0.0,0.5590884146085132,0.7068383340301112
300,0,5.0,0.0,0.7189943619904876,0.0,0.7189943619904876,0.0,0.5392457714928657,0.5574840826643954
360,0,6.0,0.0,0.6121963061589613,0.0,0.6121963061589613,0.0,0.45914722961922094,0.7127843053331439
420,0,7.0,0.5811980406410784,0.5724536693150518,0.00829563902895323,0.0,0.0,0.0,0.550884641884943
480,0,8.0,0.2331091104689539,0.6827335084455055,0.00829563902895323,0.4496243979765516,0.0,0.3372182984824137,0.9067563558124184
540,0,9.0,1.1740020380988945,0.6849534727164748,0.47224784494281946,0.0,0.0,0.0,0.6679420790933777
600,0,10.0,1.2507608887079815,0.7064411432745974,0.9886348962345783,0.0,0.0,0.0,0.7111491456850365
660,0,11.0,0.41779092376328963,0.7507435628111893,0.675,0.035412451304349224,0.0,0.026559338478261918,0.9134942016472682
720,0,12.0,0.6973759285596998,0.5529423640550167,0.8120217103234944,0.0,0.0,0.0,0.86052481428806
780,0,13.0,1.3435658005711861,0.5797181837029859,1.5366711867020437,0.0,0.0,0.0,0.7218076659710094
840,0,14.0,0.09422790807487805,0.6807210448377846,0.9184531386262379,0.0,0.0,0.0,0.9782389967631175
900,0,15.0,0.49645568396732304,0.7393552132334905,0.675,0.01193960279347922,0.0,0.008954702095109415,0.8595811277232401
960,0,16.0,2.1154617539136393,0.5756446923070331,2.1357987283994064,0.0,0.0,0.0,0.15381529843454492
1020,0,17.0,0.026076279967029808,0.672056750313123,1.454875524972569,0.0,0.0,0.0,0.9798497981810413
1080,0,18.0,5.433072372686861e-16,2.9401594839889684,0.675,2.2003045988891157,0.0,1.6502284491668369,0.11271194658417796
1140,0,19.0,0.0,1.262310660860222,0.675,1.262310660860222,0.0,0.9467329956451664,0.7645745533816647
1200,0,20.0,0.0,1.3695492358520398,0.675,1.3695492358520398,0.0,1.02716192688903,0.6865981603850236
1260,0,21.0,0.0,3.407755592176794,0.675,3.407755592176794,0.0,2.5558166941325955,0.6629312016304615
1320,0,22.0,0.0,0.539948784122407,0.675,0.539948784122407,0.0,0.40496158809180527,0.8224204205634557
1380,0,23.0,0.0,0.7617823135154738,0.675,0.7617823135154738,0.0,0.5713367351366053,0.6200920621130993
1440,1,0.0,0.0,0.5616324455404454,0.675,0.5616324455404454,0.0,0.4212243341553341,0.4509533647409466
1500,1,1.0,0.0,0.5351538577816282,0.675,0.5351538577816282,0.0,0.4013653933362211,0.7490689962960341
1560,1,2.0,0.0,0.5703122195220665,0.675,0.5703122195220665,0.0,0.42773416464154984,0.4773710522822086
1620,1,3.0,0.0,0.541093795063711,0.675,0.541093795063711,0.0,0.4058203462977833,0.9740695228993705
1680,1,4.0,0.0,0.6722490835395722,0.675,0.6722490835395722,0.0,0.5041868126546791,0.6889959394779831
1740,1,5.0,0.0,0.609930267563598,0.675,0.609930267563598,0.0,0.4574477006726985,0.9477416612945734
1800,1,6.0,0.0,0.5148187222993854,0.675,0.5148187222993854,0.0,0.38611404172453906,0.9340802386034388
1860,1,7.0,0.04725390391674869,0.5128694190037132,0.675,0.4656155150869645,0.0,0.3492116363152234,0.9634849870510642
1920,1,8.0,0.6236228917622709,0.7574793445061733,0.675,0.13385645274390234,0.0,0.10039233955792676,0.7505508432950916
1980,1,9.0,1.3263121667469353,0.5382027027664349,1.4226662855138437,0.0,0.0,0.0,0.6248622691692076
2040,1,10.0,0.7408621200934099,0.5871107113727813,1.5685276790188423,0.0,0.0,0.0,0.8289052222126692
2100,1,11.0,2.7560733485756645,0.7110913118419989,3.508567982081393,0.0,0.0,0.0,0.42934058215131166
2160,1,12.0,0.8758618973074511,0.5131571961207327,3.852659874221635,0.0,0.0,0.0,0.8248276205385098
2220,1,13.0,1.0464336370455964,0.6514269348994012,4.227396135165745,0.0,0.0,0.0,0.7833304362373608
2280,1,14.0,0.9599413808671042,0.691148520315684,4.482395432606098,0.0,0.0,0.0,0.7783110341400465
2340,1,15.0,1.8246244685010538,0.6625459298000151,5.584839933294721,0.0,0.0,0.0,0.483918266081602
2400,1,16.0,2.2988988740857077,0.6878871389470916,7.113179859384104,0.0,0.0,0.0,0.08044045036571752
2460,1,17.0,0.030922530369768348,0.7167722374474833,6.390230790409142,0.0,0.0,0.0,0.9761049034413062
2520,1,18.0,1.295735588483023e-16,1.2856908388821457,5.034993651182425,0.0,0.0,0.0,0.7883903196603029
2580,1,19.0,0.0,3.257587788124764,1.6011946217076702,0.0,0.0,0.0,0.18885644833156554
2640,1,20.0,0.0,1.4010138692766265,0.675,0.522348500918346,0.0,0.39176137568875946,0.8754703096242329
2700,1,21.0,0.0,1.4714358651248283,0.675,1.4714358651248283,0.0,1.1035768988436212,0.351830694537046
2760,1,22.0,0.0,0.7682031926758286,0.675,0.7682031926758286,0.0,0.5761523945068714,0.8692236137121834
2820,1,23.0,0.0,0.5175825343741562,0.675,0.5175825343741562,0.0,0.3881869007806172,0.6596649554915179
