time_min,day,hour,solar_gen_kw,load_kw,battery_soc_kwh,grid_import_kw,grid_export_kw,cost_cents,cloud_cover
0,0,0.0,0.0,0.5337393520917151,0.0,0.5337393520917151,0.0,0.4003045140687863,0.7099599150453247
60,0,1.0,0.0,0.5919968091261635,0.0,0.5919968091261635,0.0,0.44399760684462264,0.9681589076449485
120,0,2.0,0.0,0.5006392078478058,0.0,0.5006392078478058,0.0,0.3754794058858544,0.9887551293622397
180,0,3.0,0.0,0.581890902028718,0.0,0.581890902028718,0.0,0.43641817652153847,0.9790416699273765
240,0,4.0,0.0,0.5621236531952095,0.0,0.5621236531952095,0.0,0.4215927398964071,0.8445383705674802
300,0,5.0,0.0,0.6627798193783785,0.0,0.6627798193783785,0.0,0.49708486453378387,0.7760605256906044
360,0,6.0,0.0,0.5243993944035632,0.0,0.5243993944035632,0.0,0.3932995458026724,0.7067669025248514
420,0,7.0,0.5426167713757462,0.5532534544093685,0.0,0.010636683033622307,0.0,0.00797751227521673,0.5806979574004607
480,0,8.0,0.4695589519407988,0.7113828093224908,0.0,0.241823857381692,0.0,0.181367893036269,0.8121764192236804
540,0,9.0,0.3418103213020589,0.7511176376137652,0.0,0.40930731631170625,0.0,0.3069804872337797,0.9033214415711046
600,0,10.0,0.004861835760701404,0.7439709181276131,0.0,0.7391090823669116,0.0,0.5543318117751838,0.9988772071259213
660,0,11.0,1.2125426707341869,0.6102259362941824,0.5714078260995589,0.0,0.0,0.0,0.748936691051614
720,0,12.0,0.4657374126599406,0.6079625962631482,0.5714078260995589,0.14222518360320757,0.0,0.10666888770240568,0.9068525174680119
780,0,13.0,1.4194292556930206,0.7813270126763081,1.176764766498084,0.0,0.0,0.0,0.7060997403607605
840,0,14.0,0.5614847749971612,0.6725286933913548,1.0597141990195778,0.0,0.0,0.0,0.870330645603805
900,0,15.0,1.2566009761403192,0.6600281457778341,1.6256728792551898,0.0,0.0,0.0,0.6445795714102182
960,0,16.0,0.869398491752608,0.6394412754739331,1.8438294496049583,0.0,0.0,0.0,0.6522406032989571
1020,0,17.0,0.34248551411732653,0.5553311618483664,1.619470437310313,0.0,0.0,0.0,0.7353475174273483
1080,0,18.0,2.000221966936807e-16,1.1794278924237673,0.675,0.2834245630450084,0.0,0.2125684222837563,0.6733389629843577
1140,0,19.0,0.0,2.934307818978634,0.675,2.934307818978634,0.0,2.200730864233975,0.7699128278406486
1200,0,20.0,0.0,2.863339474513203,0.675,2.863339474513203,0.0,2.147504605884902,0.9515324358170983
1260,0,21.0,0.0,1.8008127647862011,0.675,1.8008127647862011,0.0,1.3506095735896508,0.8635546106615063
1320,0,22.0,0.0,0.5688063105099948,0.675,0.5688063105099948,0.0,0.42660473288249606,0.8352933544391592
1380,0,23.0,0.0,0.7170067835207112,0.675,0.7170067835207112,0.0,0.5377550876405335,0.9932861184705939
1440,1,0.0,0.0,0.5615311626799305,0.675,0.5615311626799305,0.0,0.4211483720099479,0.48016230721606085
1500,1,1.0,0.0,0.5291834215134928,0.675,0.5291834215134928,0.0,0.39688756613511966,0.8217427426066582
1560,1,2.0,0.0,0.6693864509616386,0.675,0.6693864509616386,0.0,0.502039838221229,0.5150186479940175
1620,1,3.0,0.0,0.7916528341667873,0.675,0.7916528341667873,0.0,0.5937396256250905,0.9037962491804442
1680,1,4.0,0.0,0.5924507938565184,0.675,0.5924507938565184,0.0,0.44433809539238883,0.8251015218745583
1740,1,5.0,0.0,0.5804559822060525,0.675,0.5804559822060525,0.0,0.4353419866545394,0.8548089451062563
1800,1,6.0,0.0,0.528895583280295,0.675,0.528895583280295,0.0,0.3966716874602212,0.8731279584643921
1860,1,7.0,0.7210402804970687,0.640788598823499,0.7511334300441821,0.0,0.0,0.0,0.44282285701853386
1920,1,8.0,0.1662499133442413,0.5760419550615891,0.675,0.33756552821113506,0.0,0.2531741461583513,0.9335000346623035
